Id,SalePrice
2658,145750.90484906718
2718,161990.00268012495
2414,215340.66395034696
1989,102750.6161322392
625,174492.25618918976
333,94738.61636658202
1327,110121.44295237122
858,155670.09153116582
95,184494.53365036493
1568,167280.7674502523
2482,153403.39424608453
1364,124150.35183057266
2584,144350.5129694096
818,322144.17564088095
2673,94547.14850894104
2089,112545.1630815046
1297,155284.02964259547
790,113483.88232989694
2616,201744.7726564182
720,157907.1832128677
222,153343.92534809952
557,130861.26591910401
1148,189933.55349615324
2766,163908.95080620245
534,174600.8510413475
1452,127148.27291327917
630,117356.63686492849
2648,104296.14616455781
125,168686.59988503918
1904,74549.74135052504
1670,113962.03620353188
756,101227.6171744018
717,170901.05395395838
1032,149198.4802942476
852,217867.29490913425
1731,176023.80445310407
2639,111712.92164524135
2071,96491.03695965068
1267,126010.92871420574
1851,180948.52355196656
567,158920.45261388333
2439,204680.69052580223
1898,148611.08492512358
647,159717.12362660764
2256,207230.7578254815
979,93416.39402194945
1444,218008.02406419086
2485,124369.05069696488
157,139901.85124103652
88,123212.98071040201
2003,108638.20036156126
186,184286.80486863115
1425,237406.9859826184
2695,124752.36175760736
738,107656.622404498
395,160871.49694109685
1353,161050.18630065973
1878,140682.6840453347
390,150200.9265421874
1456,229568.98888396777
1103,304070.3538850259
1387,120210.77325291827
2070,142744.75355471368
1199,173327.03999896458
2479,167951.2570529215
501,301487.57252236136
2362,95857.23797293322
1718,183277.5371230966
2188,87987.24043047133
1483,148759.43186204808
2557,97119.6382053221
437,375579.55298210704
2224,211747.73614190763
1628,166269.94287719167
397,144801.3092259787
587,185359.91333494356
971,133136.5573773953
2611,140373.7561957868
1887,111826.22320492023
2399,363956.751673218
2148,196439.8568487994
304,104032.85036417733
1997,126094.30919695378
2817,117215.0559399121
1431,210298.84402017118
427,350771.3204197971
263,128046.34531663779
598,163033.7209550303
2895,234742.8469425297
687,135838.3045087432
1822,131770.23013696034
2191,111217.62851842638
179,118161.76226814624
1009,194188.23431466412
2010,129945.62117568623
1991,134874.20171882547
1411,178274.47446218593
1721,223209.3139530575
1144,190256.80868229762
593,211117.61285853383
575,334893.6681675878
1249,168437.78468896018
1604,126921.75202841073
1064,546654.775884123
1923,154299.6396736175
1988,114742.75376719293
2325,170720.7538388404
114,202999.65241690187
2700,177808.0587844598
217,124054.88567203787
343,166643.05016021145
386,220777.24777206994
2005,131728.42670324814
2908,141036.53928387433
1814,225744.1578989404
2446,645304.1416233188
208,126957.67309427472
1679,109224.5781084492
822,321872.9086416552
6,199270.28371816938
1781,395946.6869008446
2397,279518.7973265044
2340,296781.5891943553
1618,183646.59856660402
2843,127949.15599449766
1061,383629.8531022998
2786,126758.7465174246
1935,134153.79841324058
1341,114561.46493456897
521,259752.97407336778
2136,137147.71227516278
996,212438.42742147285
227,143965.0582018077
135,186852.37899568042
1167,167493.23740132494
294,234604.14615139712
1776,205849.28590621246
540,156907.88029212508
1717,189095.70060859417
2303,137105.1521108104
116,171466.29923759474
127,137738.77907759833
1371,133286.36968641626
1014,157666.73582482626
1507,112023.45584390927
702,109786.4088471774
750,147317.75830739518
261,156349.04766584697
1559,76835.2644678604
577,209215.99347400918
2812,191457.91588796128
2080,152026.1880411647
1368,106674.79363527318
2376,123843.46765429046
659,108549.29593593926
1235,136526.97495244083
332,81874.31430659883
1917,138800.5365626659
2094,250260.417677702
1460,262606.7632849952
1471,216235.88110671515
1509,121192.86750317032
1922,137820.61398438612
433,558447.5054596904
460,246719.10897721164
1116,243709.93986718173
1137,157335.03701303343
53,170445.80817409782
2354,258523.96399125984
1475,195748.29537342893
1761,812198.2290761785
842,139302.44891035
2739,181318.75751216212
2509,153937.0735672563
1007,200295.32349043022
2610,179200.02212873835
1952,93787.31341020313
2719,160933.14316341665
2921,83063.62430472819
1966,140799.4466151968
292,105545.50641923741
1204,183578.81851259957
1829,269018.5314923909
2419,184253.5134552956
391,146530.4273031064
798,105937.69838390677
481,193120.15372567103
193,197547.14870261977
555,120430.93996740048
899,44233.04934950562
2357,189559.04221691607
328,123722.57567655933
1356,115797.40164011501
1154,109075.9979058951
1730,176620.06484839437
2249,161684.9857620395
1119,268787.54440932913
2856,131928.44238509797
1394,137100.02365949412
2587,128574.99906138865
61,340942.2106426246
2661,177209.84350562847
2711,140231.92257565816
1147,165502.28060485038
757,118651.5270668049
2623,104535.74060406072
2378,143274.94046009457
1413,138292.2311455564
1722,214418.53865840816
1112,214876.30480251202
1623,193149.16231617145
1201,182686.07741353798
1513,110903.57336363348
957,695212.8267328575
1171,257431.71611197112
1145,196274.25688580243
2726,229722.00184245626
703,145006.47045215374
760,95368.24875079984
1964,150054.08378154997
2512,178880.15801733415
159,134543.262160115
1281,160415.79776828087
468,172449.24820533235
290,125354.03098283945
665,97394.88547062712
1463,253292.91740631123
1792,220631.56819768934
923,153833.65593531227
500,260131.4825820247
1408,172110.43719550723
331,88517.60377965782
170,117281.70510303763
2192,99731.34376481426
2571,301550.84227257303
2314,177382.9335534962
2647,94953.58461041344
